VEHICLE_TAG,REPORT_TIME,PATTERN_MEASURE,PATTERN_OFFSET,TRIP_TAG,PATTERN_NAME,ROUTE,PATTERN_MEASURE_1,TRAPEZE_PATTERN_NAME,REPORT_HOUR,REPORT_MINUTE,LONGITUDE,LATITUDE
"5463","2/5/2015 6:21:53. AM","2070.85185074122","0.0379668164356079","6542402","24___I_F00","24","2070.85185074122","24   I F00","6","21","-122.40707","37.7394"
"5430","2/5/2015 6:22:08. AM","6848.81411020802","-10.7113736046206","6542401","24___I_F00","24","6848.81411020802","24   I F00","6","22","-122.43487","37.7607799"
"5463","2/5/2015 6:22:23. AM","2151.30630881956","-5.24302838514184","6542402","24___I_F00","24","2151.30630881956","24   I F00","6","22","-122.40766","37.73966"
"5435","2/5/2015 6:22:55. AM","33.5958644598495","-11.1279459656447","6542403","24___I_F00","24","33.5958644598495","24   I F00","6","22","-122.39067","37.73446"
"5414","2/5/2015 6:23:29. AM","11088.384304202","0.909746278682299","6542400","24___I_F00","24","11088.384304202","24   I F00","6","23","-122.43371","37.79168"
"5463","2/5/2015 6:23:43. AM","2551.42090775715","-0.319771033709079","6542402","24___I_F00","24","2551.42090775715","24   I F00","6","23","-122.41211","37.73965"
"5430","2/5/2015 6:23:56. AM","6991.31344068314","-10.2202760269483","6542401","24___I_F00","24","6991.31344068314","24   I F00","6","23","-122.435","37.76206"
"5435","2/5/2015 6:24:23. AM","33.5958644598495","-11.1279459656447","6542403","24___I_F00","24","33.5958644598495","24   I F00","6","24","-122.39067","37.73446"
"5463","2/5/2015 6:24:52. AM","2711.00604845102","0.643259110187036","6542402","24___I_F00","24","2711.00604845102","24   I F00","6","24","-122.41364","37.73895"
"5430","2/5/2015 6:24:58. AM","7186.47029890779","-8.5070669690223","6542401","24___I_F00","24","7186.47029890779","24   I F00","6","24","-122.4352","37.76381"
"5463","2/5/2015 6:25:06. AM","2760.94147509689","3.70985600587314","6542402","24___I_F00","24","2760.94147509689","24   I F00","6","25","-122.4142","37.73888"
"5430","2/5/2015 6:25:30. AM","7377.90069758021","-8.14025530472745","6542401","24___I_F00","24","7377.90069758021","24   I F00","6","25","-122.43537","37.76553"
"5435","2/5/2015 6:25:56. AM","33.5958644598495","-11.1279459656447","6542403","24___I_F00","24","33.5958644598495","24   I F00","6","25","-122.39067","37.73446"
"5463","2/5/2015 6:26:26. AM","2956.17007609543","4.49085994378986","6542402","24___I_F00","24","2956.17007609543","24   I F00","6","26","-122.41641","37.73901"
"5430","2/5/2015 6:26:37. AM","7661.52198656694","-11.0672138990118","6542401","24___I_F00","24","7661.52198656694","24   I F00","6","26","-122.43558","37.76808"
"5430","2/5/2015 6:26:41. AM","7661.52198656694","-11.0672138990118","6542401","24___I_F00","24","7661.52198656694","24   I F00","6","26","-122.43558","37.76808"
"5435","2/5/2015 6:27:46. AM","245.949261399185","-5.40078071941511","6542403","24___I_F00","24","245.949261399185","24   I F00","6","27","-122.39117","37.73608"
"5463","2/5/2015 6:27:53. AM","3452.56387579769","9.75511817972199","6542402","24___I_F00","24","3452.56387579769","24   I F00","6","27","-122.42168","37.74046"
"5463","2/5/2015 6:28:02. AM","3530.0584903108","8.96024907699374","6542402","24___I_F00","24","3530.0584903108","24   I F00","6","28","-122.42246","37.74078"
"5430","2/5/2015 6:28:07. AM","8046.04063312131","-15.6657068228906","6542401","24___I_F00","24","8046.04063312131","24   I F00","6","28","-122.43687","37.77125"
"5435","2/5/2015 6:28:53. AM","451.354660923017","-1.33641410554907","6542403","24___I_F00","24","451.354660923017","24   I F00","6","28","-122.3927","37.73515"
"5463","2/5/2015 6:29:25. AM","3725.64735221475","7.47559188907572","6542402","24___I_F00","24","3725.64735221475","24   I F00","6","29","-122.42214","37.74228"
"5435","2/5/2015 6:29:36. AM","689.624856496323","-2.80266877727461","6542403","24___I_F00","24","689.624856496323","24   I F00","6","29","-122.39483","37.73623"
"5430","2/5/2015 6:29:39. AM","8238.94563650381","-11.6836832123064","6542401","24___I_F00","24","8238.94563650381","24   I F00","6","29","-122.43726","37.77296"
"5435","2/5/2015 6:30:27. AM","883.739252012977","-3.97715327705725","6542403","24___I_F00","24","883.739252012977","24   I F00","6","30","-122.39661","37.73726"
"5430","2/5/2015 6:30:45. AM","8348.40594969789","-9.36198282591164","6542401","24___I_F00","24","8348.40594969789","24   I F00","6","30","-122.43748","37.77393"
"5463","2/5/2015 6:30:47. AM","3881.53128273832","-2.89233532931311","6542402","24___I_F00","24","3881.53128273832","24   I F00","6","30","-122.42356","37.74231"
"5430","2/5/2015 6:31:07. AM","8496.83696079298","-9.56243525657206","6542401","24___I_F00","24","8496.83696079298","24   I F00","6","31","-122.43775","37.77525"
"5463","2/5/2015 6:31:30. AM","4076.25008222963","-0.492350043923584","6542402","24___I_F00","24","4076.25008222963","24   I F00","6","31","-122.42576","37.74215"
"5435","2/5/2015 6:31:54. AM","1349.16277809021","-2.87108100620585","6542403","24___I_F00","24","1349.16277809021","24   I F00","6","31","-122.40094","37.73968"
"5430","2/5/2015 6:32:41. AM","8811.64524261137","-8.74443140214325","6542401","24___I_F00","24","8811.64524261137","24   I F00","6","32","-122.43832","37.77805"
"5463","2/5/2015 6:32:55. AM","4468.01807152175","2.06923058546051","6542402","24___I_F00","24","4468.01807152175","24   I F00","6","32","-122.43019","37.74186"
"5435","2/5/2015 6:33:00. AM","1793.69952437391","-9.59963008804205","6542403","24___I_F00","24","1793.69952437391","24   I F00","6","33","-122.40572","37.7384"
"5430","2/5/2015 6:33:20. AM","8929.8589986849","-7.10170749318316","6542401","24___I_F00","24","8929.8589986849","24   I F00","6","33","-122.43855","37.7791"
"5435","2/5/2015 6:33:26. AM","1884.82862933406","-13.7524363132719","6542403","24___I_F00","24","1884.82862933406","24   I F00","6","33","-122.40671","37.73816"
"5463","2/5/2015 6:33:48. AM","4707.44172535608","9.01432230275792","6542402","24___I_F00","24","4707.44172535608","24   I F00","6","33","-122.43121","37.74341"
"5429","2/5/2015 6:34:25. AM","143.919650231349","2.42274251738565","6542419","24___I_F00","24","143.919650231349","24   I F00","6","34","-122.3905","37.73545"
"5463","2/5/2015 6:34:37. AM","4898.35496918908","2.87331285959263","6542402","24___I_F00","24","4898.35496918908","24   I F00","6","34","-122.4313","37.74513"
"5430","2/5/2015 6:34:39. AM","9319.11707625423","-5.27946118063956","6542401","24___I_F00","24","9319.11707625423","24   I F00","6","34","-122.43927","37.7825599"
"5435","2/5/2015 6:34:47. AM","2115.27121448409","-7.1931119630917","6542403","24___I_F00","24","2115.27121448409","24   I F00","6","34","-122.40725","37.73965"
"5463","2/5/2015 6:35:15. AM","5098.60135571945","0.465609266563309","6542402","24___I_F00","24","5098.60135571945","24   I F00","6","35","-122.43145","37.74693"
"5435","2/5/2015 6:35:29. AM","2322.58282401137","-2.72251088127673","6542403","24___I_F00","24","2322.58282401137","24   I F00","6","35","-122.4096","37.73975"
"5430","2/5/2015 6:35:38. AM","9381.21382064109","-3.58630032678509","6542401","24___I_F00","24","9381.21382064109","24   I F00","6","35","-122.4394","37.78311"
"5429","2/5/2015 6:35:56. AM","479.637819999448","-0.0836639371908216","6542419","24___I_F00","24","479.637819999448","24   I F00","6","35","-122.39291","37.73511"
"5429","2/5/2015 6:36:13. AM","620.558333910498","-1.70310050982567","6542419","24___I_F00","24","620.558333910498","24   I F00","6","36","-122.3942","37.73586"
